lemma,"poscode","surface"
Brest,"0","Brest"
Breves,"0","Breves"
Brevig Mission,"0","Brevig Mission"
Bridgetown,"0","Bridgetown"
Brigham City,"0","Brigham City"
Brindisi,"0","Brindisi"
Brisbane,"0","Brisbane"
Bristol,"0","Bristol"
Brive,"0","Brive"
Brize Norton,"0","Brize Norton"
Brno,"0","Brno"
Brochet,"0","Brochet"
Broken Hill,"0","Broken Hill"
Bromont,"0","Bromont"
Bronnoysund,"0","Bronnoysund"
Brookneal,"0","Brookneal"
Broome,"0","Broome"
Broomfield-CO,"0","Broomfield-CO"
Broughton Island,"0","Broughton Island"
Brownsville,"0","Brownsville"
Brunswick,"0","Brunswick"
Brus Laguna,"0","Brus Laguna"
Brussels,"0","Brussels"
Brusselton,"0","Brusselton"
Bryan,"0","Bryan"
Bryansk,"0","Bryansk"
Bryce Canyon,"0","Bryce Canyon"
Buariki,"0","Buariki"
Bubaque,"0","Bubaque"
Bucaramanga,"0","Bucaramanga"
Bucharest,"0","Bucharest"
Buckeye,"0","Buckeye"
Buckland,"0","Buckland"
Buckley,"0","Buckley"
Budapest,"0","Budapest"
Buenaventura,"0","Buenaventura"
Buenos Aires,"0","Buenos Aires"
Buffalo Narrows,"0","Buffalo Narrows"
Buffalo,"0","Buffalo"
Bugulma,"0","Bugulma"
Bujumbura,"0","Bujumbura"
Buka Island,"0","Buka Island"
Bukavu/kavumu,"0","Bukavu/kavumu"
Bukhara,"0","Bukhara"
Bukoba,"0","Bukoba"
Bulawayo,"0","Bulawayo"
Bulgan,"0","Bulgan"
Bumba,"0","Bumba"
Bunbury,"0","Bunbury"
Bundaberg,"0","Bundaberg"
Bunia,"0","Bunia"
Buochs,"0","Buochs"
Buonmethuot,"0","Buonmethuot"
Burao,"0","Burao"
Burbank,"0","Burbank"
Burgos,"0","Burgos"
Buri Ram,"0","Buri Ram"
Burketown,"0","Burketown"
Burley,"0","Burley"
Burlington,"0","Burlington"
Burnie,"0","Burnie"
Burqin,"0","Burqin"
Bursa,"0","Bursa"
Burwash,"0","Burwash"
Busan,"0","Busan"
Bush Field,"0","Bush Field"
Bushehr,"0","Bushehr"
Busuanga,"0","Busuanga"
Butaritari,"0","Butaritari"
Butte,"0","Butte"
Butuan,"0","Butuan"
Buzios,"0","Buzios"
Bydgoszcz,"0","Bydgoszcz"
Ca Mau,"0","Ca Mau"
Caballococha,"0","Caballococha"
Cabinda,"0","Cabinda"
Cabo Frio,"0","Cabo Frio"
Cacador,"0","Cacador"
Caceres,"0","Caceres"
Cacoal,"0","Cacoal"
Caen,"0","Caen"
Cagliari,"0","Cagliari"
Cairns,"0","Cairns"
Cairo,"0","Cairo"
Cajamarca,"0","Cajamarca"
Calabar,"0","Calabar"
Calais,"0","Calais"
Calama,"0","Calama"
Calbayog City,"0","Calbayog City"
Caldas Novas,"0","Caldas Novas"
Caldwell,"0","Caldwell"
Calexico,"0","Calexico"
Calgary,"0","Calgary"
Cali,"0","Cali"
Calicut,"0","Calicut"
Calvi,"0","Calvi"
Camaguey,"0","Camaguey"
Cambridge Bay,"0","Cambridge Bay"
Cambridge,"0","Cambridge"
Camden,"0","Camden"
Camiguin,"0","Camiguin"
Camp Douglas,"0","Camp Douglas"
Camp Springs,"0","Camp Springs"
Campbell River,"0","Campbell River"
Campbeltown,"0","Campbeltown"
Campeche,"0","Campeche"
Campina Grande,"0","Campina Grande"
Campinas,"0","Campinas"
Campo Grande,"0","Campo Grande"
Campos,"0","Campos"
Can Tho,"0","Can Tho"
Canaima,"0","Canaima"
Canakkale,"0","Canakkale"
Canberra,"0","Canberra"
Cancun,"0","Cancun"
Canefield,"0","Canefield"
Cannes,"0","Cannes"
Canouan Island,"0","Canouan Island"
Canton Island,"0","Canton Island"
Cap Haitien,"0","Cap Haitien"
